word,mini,en
a,Bob a man.,Bob is a person.
a,i de a vasa.,There was water.
a,i jage a sino de fungi-veni.,Look for signs of decomposition.
a,mi-ale i no pensa a da moda.,That's not how we think.
abuso,Tom i de abuso a Mary.,Tom abused Mary.
ade,"mi i go ade a tu, pero mi i go no ade a Tom.","I will help you, but I won't help Tom."
ade,tu e sufi matura ke tu i kan ade a tu-ego.,You are old enough to take care of yourself.
ade-kolun,di vela navi i ave a san ade-kolun.,This sailing ship has three masts.
ade-kolun,i supa-go a ade-kolun!,Climb the mast!
ade-man,si ade-man i de sinti a si sapato.,His assistant polished his shoes.
adere,i uti a adere baton.,Use a glue stick.
adere-imaje,mi i koleki a adere-imaje.,I collect stickers.
Aegiptos,Sami e de Aegiptos.,Sami originates from Egypt.
aeji,i dona a da aeji go mi.,Give me that shield.
aero,nu aero e ke mi-ale i nese.,Fresh air is what we need.
aero-kula,Sami i odi a aero-kula.,Sami hates air conditioners.
aero-loka,"ka mi odi tu, mi senti sama en-i open a aero-loka.","Because I hate you, I feel like opening the airlock."
aero-mini-peso,some vakansa-navi i radi sama mui aero-mini-peso sama uno mega karo.,Some cruise ships emit as much particulate matter as one million cars.
aero-pota,aero-pota e en ke?,Where's the airport?
aero-veni,jin i no aero-veni.,Gold doesn't rust.
Aetiopia,Italia i de milita-move a Aetiopia en 1935.,Italy invaded Ethiopia in 1935.
afa,"afa, mi-ale go.","Afterward, we go."
afa,mi e afa tu.,I am after you.
afa,Tom i de kan viva a ma u meno medi viva afa medika-metodo.,Tom was able to live a more or less normal life after the operation.
afa-semi-dia,bon afa-semi-dia.,Good afternoon.
Afganistan,Afganistan a lan-runguma paisa.,Afghanistan is a landlocked country.
afoga,viro-kinde i de fuji o naro a afoga.,The boy narrowly escaped drowning.
Afrika,riva-kavalo i viva en Afrika.,Hippopotamuses live in Africa.
agila,agila i ave a benda biko.,Eagles have curved beaks.
Aisopo,Aisopo i de a elas saga-man.,Aesop was a Greek fabulist.
aje,mi en-i aje.,I am aging.
aje,mi-ale i kan e sama aje.,We must be the same age.
ajenda,si-viro viro-paren i de aseta a mi ajenda anti si-viro vole.,His father consented to my plan against his will.
ake,"den, ake i de lubi an vola de si-viro mano go pisina.",Thus it happened that the axe slipped and flew out of his hands into the pool.
ake-filoso,"apara, en-i anti a ake-filoso e ake-filoso.","Apparently, opposing fascism is fascist."
akonto,i open a akonto.,Open an account.
akonto-man,akonto-man i favo a suma-foli.,Accountants love spreadsheets.
akonto-siensa,Tom i labora en akonto-siensa.,Tom works in accounting.
akuse,polisa i de akuse a si.,The police accused him.
akuta,vasa-retili i ave a akuta denta.,Crocodiles have sharp teeth.
Alarbia,Alarbia e duro!,Arabic is difficult!
ale,ale demon i de apara e sama tempo go-i kapa a si-ale mudi-make.,The demons came out all at once to capture their prey.
ale,mi i no savi a ale ke tu i make.,I don't know everything you do.
ale-en-i-savi,mega info en-i tenta go ale-en-i-savi.,Big Data is striving for omniscience.
ale-litera,i ale-litera a di seri.,Alphabetize this list.
ale-sesi,"name ""ale-sesi"" i ave veni o jusa a popula ota go ""duo-sesi"".","The term ""pansexual"" has recently become a popular alternative to ""bisexual""."
alien,alien e vere.,Aliens are real.
alio,mi i pensa ke mi i de uti a su alio.,I think I used too much garlic.
Aljeri,Aljeri i debe kata a relate kon Saudi-arabia?,Should Algeria cut its ties with Saudi Arabia?
Amerika,Bob e de Amerika.,Bob is from America.
amidala,su bibe i kan duka a amidala.,Binge drinking can damage the amygdala.
amigo,man-ale i nese a amigo.,Everyone needs friends.
amo,"si-viro i de en-savi a mi ke viva i ke, an mori i sinifi a ke, an rason ke amo e ma poten sama si-duo.","He made me see what Life is, and what Death signifies, and why Love is stronger than both."
amo,mi-ale i amo a dogi.,We love dogs.
